date_of_shift,tips,hours,earnings,effective_wage,old_job_earnings,old_job_comparison,starting_mileage,ending_mileage,change_in_mileage
12-31-21,41.0,7.75,114.62,14.79,127.88,-13.25,0,0,0
01-01-22,45.0,6.0,102.0,17.0,99.0,3.0,0,0,0
01-02-22,71.0,10.2,167.9,16.46,168.3,-0.4,0,0,0
01-05-22,71.0,7.0,137.5,19.64,115.5,22.0,75190,75245,55
